metro,date,region_id,city,state,size_rank,value_type,mean_value
New York-Newark-Jersey City,1996-04-01,NA,NA,NA,NA,mean_zhvi,193351.01265822785
New York-Newark-Jersey City,1996-04-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1996-04-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1996-04-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1996-04-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1996-05-01,NA,NA,NA,NA,mean_zhvi,193573.79746835443
New York-Newark-Jersey City,1996-05-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1996-05-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1996-05-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1996-05-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1996-06-01,394913,New York,NY,1,mean_zhvi,193775.56962025317
New York-Newark-Jersey City,1996-06-01,394913,New York,NY,1,mean_sale_price,NaN
New York-Newark-Jersey City,1996-06-01,394913,New York,NY,1,mean_zri,NaN
New York-Newark-Jersey City,1996-06-01,394913,New York,NY,1,mean_rental_price,NaN
New York-Newark-Jersey City,1996-06-01,394913,New York,NY,1,median_income,44030.17
New York-Newark-Jersey City,1996-07-01,NA,NA,NA,NA,mean_zhvi,193945.82278481012
New York-Newark-Jersey City,1996-07-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1996-07-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1996-07-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1996-07-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1996-08-01,NA,NA,NA,NA,mean_zhvi,194107.84810126582
New York-Newark-Jersey City,1996-08-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1996-08-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1996-08-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1996-08-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1996-09-01,394913,New York,NY,1,mean_zhvi,194270.25316455695
New York-Newark-Jersey City,1996-09-01,394913,New York,NY,1,mean_sale_price,NaN
New York-Newark-Jersey City,1996-09-01,394913,New York,NY,1,mean_zri,NaN
New York-Newark-Jersey City,1996-09-01,394913,New York,NY,1,mean_rental_price,NaN
New York-Newark-Jersey City,1996-09-01,394913,New York,NY,1,median_income,44521.08
New York-Newark-Jersey City,1996-10-01,NA,NA,NA,NA,mean_zhvi,194476.07594936708
New York-Newark-Jersey City,1996-10-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1996-10-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1996-10-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1996-10-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1996-11-01,NA,NA,NA,NA,mean_zhvi,194717.3417721519
New York-Newark-Jersey City,1996-11-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1996-11-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1996-11-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1996-11-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1996-12-01,394913,New York,NY,1,mean_zhvi,195171.8987341772
New York-Newark-Jersey City,1996-12-01,394913,New York,NY,1,mean_sale_price,NaN
New York-Newark-Jersey City,1996-12-01,394913,New York,NY,1,mean_zri,NaN
New York-Newark-Jersey City,1996-12-01,394913,New York,NY,1,mean_rental_price,NaN
New York-Newark-Jersey City,1996-12-01,394913,New York,NY,1,median_income,44976.69
New York-Newark-Jersey City,1997-01-01,NA,NA,NA,NA,mean_zhvi,195783.03797468354
New York-Newark-Jersey City,1997-01-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1997-01-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1997-01-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1997-01-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1997-02-01,NA,NA,NA,NA,mean_zhvi,196295.94936708861
New York-Newark-Jersey City,1997-02-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1997-02-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1997-02-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1997-02-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1997-03-01,394913,New York,NY,1,mean_zhvi,196621.77215189874
New York-Newark-Jersey City,1997-03-01,394913,New York,NY,1,mean_sale_price,NaN
New York-Newark-Jersey City,1997-03-01,394913,New York,NY,1,mean_zri,NaN
New York-Newark-Jersey City,1997-03-01,394913,New York,NY,1,mean_rental_price,NaN
New York-Newark-Jersey City,1997-03-01,394913,New York,NY,1,median_income,45452.81
New York-Newark-Jersey City,1997-04-01,NA,NA,NA,NA,mean_zhvi,196987.46835443037
New York-Newark-Jersey City,1997-04-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1997-04-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1997-04-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1997-04-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1997-05-01,NA,NA,NA,NA,mean_zhvi,197409.2405063291
New York-Newark-Jersey City,1997-05-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1997-05-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1997-05-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1997-05-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1997-06-01,394913,New York,NY,1,mean_zhvi,197864.68354430379
New York-Newark-Jersey City,1997-06-01,394913,New York,NY,1,mean_sale_price,NaN
New York-Newark-Jersey City,1997-06-01,394913,New York,NY,1,mean_zri,NaN
New York-Newark-Jersey City,1997-06-01,394913,New York,NY,1,mean_rental_price,NaN
New York-Newark-Jersey City,1997-06-01,394913,New York,NY,1,median_income,45983.4
New York-Newark-Jersey City,1997-07-01,NA,NA,NA,NA,mean_zhvi,198342.15189873418
New York-Newark-Jersey City,1997-07-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1997-07-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1997-07-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1997-07-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1997-08-01,NA,NA,NA,NA,mean_zhvi,198865.56962025317
New York-Newark-Jersey City,1997-08-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1997-08-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1997-08-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1997-08-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1997-09-01,394913,New York,NY,1,mean_zhvi,199452.27848101265
New York-Newark-Jersey City,1997-09-01,394913,New York,NY,1,mean_sale_price,NaN
New York-Newark-Jersey City,1997-09-01,394913,New York,NY,1,mean_zri,NaN
New York-Newark-Jersey City,1997-09-01,394913,New York,NY,1,mean_rental_price,NaN
New York-Newark-Jersey City,1997-09-01,394913,New York,NY,1,median_income,46508.61
New York-Newark-Jersey City,1997-10-01,NA,NA,NA,NA,mean_zhvi,200134.93670886077
New York-Newark-Jersey City,1997-10-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1997-10-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1997-10-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1997-10-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1997-11-01,NA,NA,NA,NA,mean_zhvi,200897.3417721519
New York-Newark-Jersey City,1997-11-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1997-11-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1997-11-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1997-11-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1997-12-01,394913,New York,NY,1,mean_zhvi,201917.46835443037
New York-Newark-Jersey City,1997-12-01,394913,New York,NY,1,mean_sale_price,NaN
New York-Newark-Jersey City,1997-12-01,394913,New York,NY,1,mean_zri,NaN
New York-Newark-Jersey City,1997-12-01,394913,New York,NY,1,mean_rental_price,NaN
New York-Newark-Jersey City,1997-12-01,394913,New York,NY,1,median_income,47038.88
New York-Newark-Jersey City,1998-01-01,NA,NA,NA,NA,mean_zhvi,203117.3417721519
New York-Newark-Jersey City,1998-01-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1998-01-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1998-01-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1998-01-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1998-02-01,NA,NA,NA,NA,mean_zhvi,204224.68354430379
New York-Newark-Jersey City,1998-02-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1998-02-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1998-02-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1998-02-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1998-03-01,394913,New York,NY,1,mean_zhvi,205170.25316455695
New York-Newark-Jersey City,1998-03-01,394913,New York,NY,1,mean_sale_price,NaN
New York-Newark-Jersey City,1998-03-01,394913,New York,NY,1,mean_zri,NaN
New York-Newark-Jersey City,1998-03-01,394913,New York,NY,1,mean_rental_price,NaN
New York-Newark-Jersey City,1998-03-01,394913,New York,NY,1,median_income,47526.62
New York-Newark-Jersey City,1998-04-01,NA,NA,NA,NA,mean_zhvi,206178.22784810126
New York-Newark-Jersey City,1998-04-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1998-04-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1998-04-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1998-04-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1998-05-01,NA,NA,NA,NA,mean_zhvi,207241.01265822785
New York-Newark-Jersey City,1998-05-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1998-05-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1998-05-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1998-05-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1998-06-01,394913,New York,NY,1,mean_zhvi,208347.46835443037
New York-Newark-Jersey City,1998-06-01,394913,New York,NY,1,mean_sale_price,NaN
New York-Newark-Jersey City,1998-06-01,394913,New York,NY,1,mean_zri,NaN
New York-Newark-Jersey City,1998-06-01,394913,New York,NY,1,mean_rental_price,NaN
New York-Newark-Jersey City,1998-06-01,394913,New York,NY,1,median_income,48053.17
New York-Newark-Jersey City,1998-07-01,NA,NA,NA,NA,mean_zhvi,209484.55696202532
New York-Newark-Jersey City,1998-07-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1998-07-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1998-07-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1998-07-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1998-08-01,NA,NA,NA,NA,mean_zhvi,210672.78481012658
New York-Newark-Jersey City,1998-08-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1998-08-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1998-08-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1998-08-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1998-09-01,394913,New York,NY,1,mean_zhvi,211918.86075949366
New York-Newark-Jersey City,1998-09-01,394913,New York,NY,1,mean_sale_price,NaN
New York-Newark-Jersey City,1998-09-01,394913,New York,NY,1,mean_zri,NaN
New York-Newark-Jersey City,1998-09-01,394913,New York,NY,1,mean_rental_price,NaN
New York-Newark-Jersey City,1998-09-01,394913,New York,NY,1,median_income,48667.82
New York-Newark-Jersey City,1998-10-01,NA,NA,NA,NA,mean_zhvi,213265.56962025317
New York-Newark-Jersey City,1998-10-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1998-10-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1998-10-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1998-10-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1998-11-01,NA,NA,NA,NA,mean_zhvi,214715.18987341772
New York-Newark-Jersey City,1998-11-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1998-11-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1998-11-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1998-11-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1998-12-01,394913,New York,NY,1,mean_zhvi,216421.13924050634
New York-Newark-Jersey City,1998-12-01,394913,New York,NY,1,mean_sale_price,NaN
New York-Newark-Jersey City,1998-12-01,394913,New York,NY,1,mean_zri,NaN
New York-Newark-Jersey City,1998-12-01,394913,New York,NY,1,mean_rental_price,NaN
New York-Newark-Jersey City,1998-12-01,394913,New York,NY,1,median_income,49508.07
New York-Newark-Jersey City,1999-01-01,NA,NA,NA,NA,mean_zhvi,218300.6329113924
New York-Newark-Jersey City,1999-01-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1999-01-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1999-01-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1999-01-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1999-02-01,NA,NA,NA,NA,mean_zhvi,220115.82278481012
New York-Newark-Jersey City,1999-02-01,NA,NA,NA,NA,mean_sale_price,NaN
New York-Newark-Jersey City,1999-02-01,NA,NA,NA,NA,mean_zri,NaN
New York-Newark-Jersey City,1999-02-01,NA,NA,NA,NA,mean_rental_price,NaN
New York-Newark-Jersey City,1999-02-01,NA,NA,NA,NA,median_income,NA
New York-Newark-Jersey City,1999-03-01,394913,New York,NY,1,mean_zhvi,221821.77215189874
